"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031505","GO:0031505","fungal-type cell wall organization","24/354","194/6476",0.123711340206186,2.26314869823519,4.29517865310413,0.000130791709786494,0.00296545049688992,0.00259994856296228,"YDR077W/YDR055W/YOL155C/YOL109W/YGR032W/YGR225W/YLR213C/YLR300W/YLR194C/YLR307W/YLR413W/YLR037C/YPR149W/YBR067C/YNL194C/YJL158C/YJR104C/YKL163W/YER011W/YEL040W/YER150W/YIR039C/YIL011W/YCL048W",24
"GO:0046395","GO:0046395","carboxylic acid catabolic process","15/354","93/6476",0.161290322580645,2.95061053398943,4.55590303289172,0.000135601444213029,0.00301649250428606,0.00264469946806742,"YDR111C/YDR019C/YGR087C/YLR058C/YLR438W/YPL095C/YMR189W/YMR250W/YMR042W/YJR078W/YJR148W/YHR183W/YCL064C/YFR055W/YAL044C",15
"GO:0016054","GO:0016054","organic acid catabolic process","15/354","94/6476",0.159574468085106,2.91922106022358,4.50697742010974,0.000153483278904797,0.00331003290141923,0.00290206000552983,"YDR111C/YDR019C/YGR087C/YLR058C/YLR438W/YPL095C/YMR189W/YMR250W/YMR042W/YJR078W/YJR148W/YHR183W/YCL064C/YFR055W/YAL044C",15
"GO:0009069","GO:0009069","serine family amino acid metabolic process","9/354","38/6476",0.236842105263158,4.33273862622658,4.95441545610107,0.000156069127522816,0.00331003290141923,0.00290206000552983,"YDR019C/YGR208W/YGL184C/YLR058C/YMR189W/YER081W/YCL064C/YFR055W/YAL044C",9
"GO:0005978","GO:0005978","glycogen biosynthetic process","7/354","23/6476",0.304347826086957,5.56767379022353,5.27658599615811,0.000157219544087767,0.00331003290141923,0.00290206000552983,"YOR178C/YLR258W/YLR273C/YPR184W/YMR105C/YKR058W/YFR015C",7
"GO:0071852","GO:0071852","fungal-type cell wall organization or biogenesis","25/354","213/6476",0.117370892018779,2.14715790032095,4.09351749679399,0.000220747564885924,0.00456598910527202,0.00400321530411778,"YDR077W/YDR055W/YOL155C/YOL109W/YGR032W/YGR225W/YLR213C/YLR300W/YLR194C/YLR307W/YLR413W/YLR037C/YPR149W/YBR067C/YNL194C/YJL158C/YJR104C/YKL163W/YER011W/YEL040W/YER150W/YIR039C/YIL119C/YIL011W/YCL048W",25
"GO:0000041","GO:0000041","transition metal ion transport","12/354","67/6476",0.17910447761194,3.27649886162408,4.50385663519345,0.000231000117522699,0.00461608709422479,0.00404713854428708,"YOL152W/YOL158C/YGR192C/YGL255W/YML123C/YMR056C/YNL259C/YEL065W/YER053C/YHL047C/YHL040C/YIL121W",12
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","12/354","67/6476",0.17910447761194,3.27649886162408,4.50385663519345,0.000231000117522699,0.00461608709422479,0.00404713854428708,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YNL220W/YHR128W/YHR216W/YAR015W",12
"GO:0006090","GO:0006090","pyruvate metabolic process","9/354","40/6476",0.225,4.11610169491525,4.75344480326563,0.000237564421350412,0.00466814087953559,0.00409277652221236,"YGR192C/YBR218C/YBR196C/YJL052W/YKL029C/YHR174W/YFR055W/YFR053C/YAL038W",9
"GO:0006730","GO:0006730","one-carbon metabolic process","6/354","18/6476",0.333333333333333,6.09792843691149,5.20781827966159,0.000270788676459113,0.0051929186679287,0.00455287365019953,"YDR019C/YLR180W/YLR058C/YMR189W/YKR080W/YAL044C",6
"GO:0033212","GO:0033212","iron import into cell","5/354","12/6476",0.416666666666667,7.62241054613936,5.52116726727888,0.000273079692461051,0.0051929186679287,0.00455287365019953,"YOL152W/YOL158C/YEL065W/YHL047C/YHL040C",5
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","14/354","90/6476",0.155555555555556,2.84569993722536,4.23977441553682,0.000333435770096425,0.00624001226894738,0.00547090937735488,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YNL141W/YNL220W/YJR078W/YKR080W/YHR216W/YAR015W",14
"GO:0016052","GO:0016052","carbohydrate catabolic process","16/354","112/6476",0.142857142857143,2.61339790153349,4.14152481938753,0.000348615997802575,0.00642216033451931,0.00563060706977185,"YOR120W/YGR192C/YLR300W/YLR307W/YPR184W/YPR160W/YMR105C/YBR196C/YBR018C/YNR067C/YJL052W/YHR174W/YHR183W/YFL053W/YFR053C/YAL038W",16
"GO:0098739","GO:0098739","import across plasma membrane","6/354","19/6476",0.315789473684211,5.77698483496878,5.01406690446281,0.000377725041878742,0.00681526777189959,0.00597526266863569,"YGR055W/YGL255W/YHL036W/YIL121W/YCL025C/YFR053C",6
"GO:0005977","GO:0005977","glycogen metabolic process","8/354","34/6476",0.235294117647059,4.30442007311399,4.64514424595532,0.000381516262040181,0.00681526777189959,0.00597526266863569,"YOR178C/YLR258W/YLR273C/YPR184W/YPR160W/YMR105C/YKR058W/YFR015C",8
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","13/354","81/6476",0.160493827160494,2.9360396177722,4.21610414305932,0.000396086097406489,0.00696993296779478,0.00611086484922501,"YDL022W/YDR481C/YGR192C/YPL061W/YBR145W/YBR196C/YJL052W/YJR078W/YHR163W/YHR174W/YHR183W/YFR053C/YAL038W",13
"GO:0019878","GO:0019878","lysine biosynthetic process via aminoadipic acid","5/354","13/6476",0.384615384615385,7.03607127335941,5.23822093822337,0.000423985431788417,0.00735115917762563,0.00644510362254218,"YDL182W/YNR050C/YJL200C/YIR034C/YIL094C",5
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","13/354","82/6476",0.158536585365854,2.90023425657985,4.16392221586071,0.000447948825661341,0.00765408210803944,0.00671069026391209,"YDL022W/YDR481C/YGR192C/YPL061W/YBR145W/YBR196C/YJL052W/YJR078W/YHR163W/YHR174W/YHR183W/YFR053C/YAL038W",13
"GO:1901678","GO:1901678","iron coordination entity transport","6/354","20/6476",0.3,5.48813559322034,4.83363731750354,0.000515031297223128,0.00867459856322954,0.00760542456952048,"YOL158C/YGR192C/YMR056C/YEL065W/YHL047C/YHL040C",6
"GO:0006112","GO:0006112","energy reserve metabolic process","8/354","36/6476",0.222222222222222,4.06528562460766,4.43459660261781,0.000577681922171647,0.00959277445408975,0.00841043213599048,"YOR178C/YLR258W/YLR273C/YPR184W/YPR160W/YMR105C/YKR058W/YFR015C",8
"GO:0072523","GO:0072523","purine-containing compound catabolic process","9/354","45/6476",0.2,3.65875706214689,4.30348717786069,0.000604212736915497,0.00972017972752933,0.00852213427296442,"YGR192C/YLR151C/YBR196C/YNL141W/YJL052W/YHR174W/YIR027C/YFR053C/YAL038W",9
"GO:0009066","GO:0009066","aspartate family amino acid metabolic process","11/354","64/6476",0.171875,3.14424435028249,4.14517012419208,0.000605445267293687,0.00972017972752933,0.00852213427296442,"YDL182W/YGL184C/YLR180W/YPR145W/YNR050C/YJL200C/YJR148W/YIR034C/YIL094C/YCL064C/YFR055W",11
"GO:0019637","GO:0019637","organophosphate metabolic process","39/354","418/6476",0.0933014354066986,1.7068364285135,3.59266964828538,0.000610087616486149,0.00972017972752933,0.00852213427296442,"YDL022W/YDR481C/YDR399W/YOR120W/YOR128C/YGR157W/YGR110W/YGR192C/YGR061C/YGL234W/YLR377C/YLR151C/YLR359W/YPL061W/YPL057C/YMR105C/YMR120C/YMR300C/YMR272C/YMR008C/YMR006C/YML035C/YBR145W/YBR196C/YNL141W/YNL220W/YJL052W/YJR078W/YKR080W/YER037W/YHR163W/YHR174W/YHR128W/YHR183W/YHR216W/YFL053W/YFR053C/YAL038W/YAR015W",39
