"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YMR307W",1373.76301110185,-0.69658538634611,0.0406253257813479,2.04122743763461e-66,8.86313913595155e-65
"YML116W-A",26.2877121578937,0.184782107834273,0.250953503580682,0.357658869589996,0.504555509065032
"YMR021C",38.0233438958759,0.256047076533706,0.225713247147398,0.178946577453964,0.305274937714573
"YMR135C",262.647550362235,0.0724640621232509,0.0963861060133723,0.439524938833535,0.586497790331285
"YMR121C",81.7709674912119,0.181063571274135,0.162598601625559,0.223743848033314,0.360666644840973
"YMR129W",102.2843203377,-0.248244564737647,0.143473020366504,0.0630625547653967,0.136856500246523
"YML066C",18.0293649486721,0.994425687369247,0.412624185144211,0.00216694734766094,0.00840210413823743
"YBR225W",63.5087336832412,0.132305984202442,0.182352326074675,0.417932292396171,0.566124464752155
"YBL055C",90.4164135352645,-0.466818870160923,0.156540375808085,0.00123835308357349,0.00509018010535731
"YBR293W",49.1746348929439,0.589785805185284,0.225933623198272,0.0028380363345647,0.0105697050962583
"YBR115C",177.738601696076,-0.952422438742765,0.115468836190738,2.44313774072636e-17,3.69237750815302e-16
"YBR031W",999.514200383321,-0.722872122688169,0.0480551177716552,9.92631950041956e-52,3.50367057979325e-50
"YBR241C",127.731296314068,0.601899855404947,0.142786093742785,8.28521004724482e-06,5.50770160005788e-05
"YBR182C",6.55183773401048,1.28858022358226,0.799302387343216,0.00962939488423895,0.0297640787636561
"YBL037W",70.1903621136862,-0.345838564753166,0.176271461292742,0.029050504263585,0.0737518834459738
"YBR019C",17.2652962161084,0.591626125793599,0.378813199542883,0.0292060341007491,0.074009362003334
"YBR022W",29.4406476461502,-0.209447818057913,0.244884510872714,0.28552775251355,0.431287226394708
"YBR119W",34.0253970833287,0.343399750339318,0.24888330903836,0.0922946324511291,0.184623010654526
"YBL022C",218.264151008552,-0.388297248009222,0.104528080683268,0.000113937836674521,0.000606375393430258
"YBR243C",92.4956573388982,0.0138146010976309,0.148933758013994,0.921750030613551,0.952894178454159
"YBR234C",302.78137215243,0.0471996022038202,0.09128157820151,0.596525285360072,0.720439257440387
"YBR179C",56.1289543405026,0.0896354638105296,0.181611363510052,0.582118310245536,0.711403617024598
"YBR247C",22.7478891981544,-1.12749185752586,0.324791428654207,5.217806856129e-05,0.000298917500627034
"YBL086C",128.712931308683,0.262717894878287,0.134588953585694,0.0381671926290003,0.0914241291038794
"YBR227C",85.0275450833096,0.0787056655911801,0.152434188933389,0.578261683697409,0.708389984663799
"YBR218C",523.265870970989,-1.10514202864852,0.0681951489998923,5.61220077812979e-60,2.30859777873294e-58
"YBR244W",33.0063539258959,-2.06508923449127,0.280140946309739,1.32697686053651e-14,1.78375685601849e-13
"YBR160W",101.415309285888,0.0546091437485051,0.142587678986882,0.683514841506596,0.787762733912489
"YBL080C",40.8365238325085,0.373025030226899,0.229066115297807,0.0548806997444021,0.122202811681573
"YBR083W",79.717601331593,0.074386255934468,0.15694623550189,0.608343571404845,0.729807147340574
"YBR294W",53.8422387484386,0.0534221513510156,0.183474190866982,0.745414878910841,0.835518295947799
"YBR091C",24.055647771211,-0.162321143353707,0.255902280771203,0.415797204103206,0.564333044814845
"YBR284W",17.6360943890558,0.0458695493413353,0.268432139016366,0.821862022238979,0.889321029206775
"YBR158W",175.345721061358,-0.302219148990407,0.114060397054313,0.00536557632829049,0.0181075475349887
"YBR111W-A",34.2814243520939,0.980586643754153,0.28750133845481,0.000105128668640793,0.000564434687079273
"YBR126W-B",13.2118727259566,-0.28050407021485,0.334945873346895,0.20829059842475,0.342415223552226
"YBR229C",120.169482259842,-0.152863351314225,0.133574110489176,0.222695294562519,0.359768209918941
"YBR042C",61.9140433076257,-0.0066789958916774,0.174611914065045,0.964835357637984,0.97995166412299
"YBR150C",79.8635303821881,0.403622279266528,0.169246556985024,0.0090794595114981,0.0283041156623397
"YBR298C",199.848101702073,0.633598454965808,0.117116827143331,2.05750612580702e-08,1.84232667991656e-07
"YBR143C",346.515900947722,-0.329432385780833,0.0824932768798954,4.33500145701813e-05,0.00025201277806015
"YBR014C",75.6029392215694,0.748710948196909,0.188597488167216,1.71092288313402e-05,0.000108716133491594
"YBR259W",27.5065358737293,0.200666313414365,0.250020208997917,0.318203150073484,0.46398972122922
"YBR060C",45.951893902257,0.261412587593891,0.211885947789108,0.152704913315712,0.271161499756658
"YBL034C",30.9424513457274,0.059837100619517,0.227672962686568,0.752685428207428,0.840396321984252
"YBR212W",358.340640856191,0.485959713266784,0.0854575044997626,6.18538079807322e-09,5.84459729641772e-08
"YBR071W",76.3251285703406,0.347305949709305,0.169930302734311,0.0249307690064705,0.0648937847913524
"YBL074C",9.10448107167393,-0.188367876589253,0.340935410062256,0.370130640450994,0.516841432850278
"YBL107C",51.4035839328286,-0.0560902602890586,0.191104662444546,0.737736299152361,0.829801663787535
"YBR097W",39.281480057408,-0.146707669974063,0.213673285235118,0.416256448080374,0.564676178390213
"YBR136W",43.6466571141418,0.118224337639833,0.203987954493038,0.504593718708454,0.645405795756365
"YBR039W",233.017469871014,0.0467600911877722,0.100836968917527,0.632949485873513,0.748727921559781
"YBL089W",51.3761088255256,-0.0859324656108743,0.187620522408725,0.603899728056985,0.726458973658699
"YBL067C",99.6115787762818,0.324435675792152,0.15149499458058,0.0211316302079002,0.0566537889640326
"YBR270C",26.5130460955199,0.138063830094424,0.243398602492578,0.483870844067811,0.628083770140352
"YBR087W",50.76661403521,0.153955935439862,0.191876805197772,0.363934561430802,0.511059031208398
"YBR121C",577.135921623632,-0.436074348130579,0.0641747024865752,5.54091571776814e-12,6.5615475956514e-11
"YBR026C",104.284700195455,0.0240141407653256,0.142448931726066,0.857640898236355,0.910567311129652
"YBR197C",36.3401675594805,-0.478305923799559,0.241950605809659,0.0175940621300798,0.0488366889465585
"YBR177C",181.904345486063,0.463810055789894,0.120586199263238,5.77088417511071e-05,0.000326499558655954
"YBR176W",25.2722799226882,-0.246060371804078,0.258162412243675,0.225041315275279,0.362117951726779
"YBR230W-A",87.106473708342,1.07561061577804,0.180344933126017,3.93600868930077e-10,4.17323711999312e-09
"YBR044C",68.0035193894193,0.116373263958565,0.168335579011268,0.448479797074924,0.59482011389016
"YBL068W",52.819472228363,-0.420404030356713,0.197941331821853,0.0155382530436644,0.0442068551231866
"YBR216C",48.1246017697312,0.0339559361801011,0.19389673742218,0.843552890367142,0.902145220133249
"YBR271W",21.7072911808616,-0.158053795936067,0.262897936498512,0.43253751562921,0.579009725472818
"YBR084W",219.143545193211,-0.218897627590234,0.103472870663851,0.0281360376040459,0.0717967638674138
"YBR065C",9.48426457428106,-0.0244725132388006,0.310338890027606,0.902855477405879,0.941003586038509
"YBR245C",120.739317661853,-0.0478203607362597,0.133790226057248,0.703755316759379,0.803406744600677
"YBR085W",23.4262528464134,-0.916512677339268,0.319722615171451,0.000522093810357158,0.00235674524460727
"YBR059C",301.773117286148,-0.0609300559026582,0.0878492853122125,0.474208301541211,0.619630670583226
"YBR068C",533.129178552809,-0.816871802424731,0.0677799798947638,3.6913737119059e-34,8.89669849243928e-33
"YBR285W",16.8030946204144,0.0454426407731659,0.273132164992986,0.823881853157696,0.890625887892858
"YBR041W",137.716455092208,-0.205920240636974,0.126426783466377,0.0855107279461213,0.173720457702648
"YBR252W",76.1200224559682,-0.541779050263738,0.175656176443176,0.000691738610913741,0.00300834812425205
"YBL082C",86.4308603649043,-0.262114817492897,0.153881931878509,0.064039741819728,0.138592336825843
